"city","city_ascii","lat","lng","country","iso2","iso3","admin_name","capital","population","id"
"New York","New York","40.6943","-73.9249","United States","US","USA","New York","","19354922.0","1840034016"
"Los Angeles","Los Angeles","34.1139","-118.4068","United States","US","USA","California","","12815475.0","1840020491"
"Chicago","Chicago","41.8373","-87.6862","United States","US","USA","Illinois","","8675982.0","1840000494"
"Miami","Miami","25.7839","-80.2102","United States","US","USA","Florida","","6381966.0","1840015149"
"Dallas","Dallas","32.7936","-96.7662","United States","US","USA","Texas","","5733259.0","1840019440"
"Philadelphia","Philadelphia","40.0077","-75.1339","United States","US","USA","Pennsylvania","","5637884.0","1840000673"
"Houston","Houston","29.7869","-95.3905","United States","US","USA","Texas","","5446468.0","1840020925"
"Washington","Washington","38.9047","-77.0163","United States","US","USA","District of Columbia","primary","5289420.0","1840006060"
"Atlanta","Atlanta","33.7627","-84.4225","United States","US","USA","Georgia","admin","5228750.0","1840013660"
"Boston","Boston","42.3188","-71.0846","United States","US","USA","Massachusetts","admin","4637537.0","1840000455"
"Phoenix","Phoenix","33.5722","-112.0891","United States","US","USA","Arizona","admin","4081849.0","1840020568"
"Seattle","Seattle","47.6211","-122.3244","United States","US","USA","Washington","","3643765.0","1840021117"
"San Francisco","San Francisco","37.7562","-122.4430","United States","US","USA","California","","3603761.0","1840021543"
"Detroit","Detroit","42.3834","-83.1024","United States","US","USA","Michigan","","3522206.0","1840003971"
"San Diego","San Diego","32.8312","-117.1225","United States","US","USA","California","","3210314.0","1840021990"
"Minneapolis","Minneapolis","44.9635","-93.2678","United States","US","USA","Minnesota","","2926757.0","1840007830"
"Tampa","Tampa","27.9942","-82.4451","United States","US","USA","Florida","","2804240.0","1840015982"
"Denver","Denver","39.7621","-104.8759","United States","US","USA","Colorado","admin","2787266.0","1840018789"
"Brooklyn","Brooklyn","40.6501","-73.9496","United States","US","USA","New York","","2629150","1840034030"
"Queens","Queens","40.7498","-73.7976","United States","US","USA","New York","","2333054","1840034002"
"Baltimore","Baltimore","39.3051","-76.6144","United States","US","USA","Maryland","","2170504.0","1840001592"
"Riverside","Riverside","33.9381","-117.3948","United States","US","USA","California","","2084749.0","1840020551"
"St. Louis","St. Louis","38.6358","-90.2451","United States","US","USA","Missouri","","2078283.0","1840001651"
"Las Vegas","Las Vegas","36.2333","-115.2654","United States","US","USA","Nevada","","2073045.0","1840020364"
"Portland","Portland","45.5371","-122.6500","United States","US","USA","Oregon","","2052796.0","1840019941"
"San Antonio","San Antonio","29.4658","-98.5254","United States","US","USA","Texas","","2002530.0","1840022220"
"Sacramento","Sacramento","38.5667","-121.4683","United States","US","USA","California","admin","1854698.0","1840021491"
"San Jose","San Jose","37.3021","-121.8489","United States","US","USA","California","","1821899.0","1840021570"
"Orlando","Orlando","28.4772","-81.3369","United States","US","USA","Florida","","1776841.0","1840015099"
"Cleveland","Cleveland","41.4767","-81.6805","United States","US","USA","Ohio","","1730363.0","1840000596"
"Pittsburgh","Pittsburgh","40.4396","-79.9763","United States","US","USA","Pennsylvania","","1715297.0","1840001254"
"Cincinnati","Cincinnati","39.1412","-84.5060","United States","US","USA","Ohio","","1648254.0","1840003814"
